donation_amount,donation_dummy,control,treatment,match_ratio,ratio1,ratio2,ratio3,red_state_dummy,months_since_last_donation,highest_previous_donation,prior_donations_num
0,0,1,0,0,0,0,0,0,1,35,18
0,0,0,1,1,1,0,0,0,2,40,30
10,1,0,1,3,0,0,1,0,10,35,97
0,0,0,1,3,0,0,1,0,8,30,37
0,0,0,1,1,1,0,0,0,34,200,18
0,0,0,1,2,0,1,0,0,42,50,26
0,0,0,1,1,1,0,0,1,7,35,19
0,0,1,0,0,0,0,0,0,9,200,16
0,0,1,0,0,0,0,0,0,7,50,21
0,0,0,1,1,1,0,0,0,41,25,28
0,0,0,1,3,0,0,1,0,4,50,20
0,0,0,1,2,0,1,0,0,2,35,91
0,0,0,1,3,0,0,1,0,7,55,17
0,0,0,1,1,1,0,0,0,30,40,28
0,0,1,0,0,0,0,0,0,19,55,22
0,0,0,1,3,0,0,1,0,4,25,19
0,0,0,1,1,1,0,0,0,41,50,43
0,0,1,0,0,0,0,0,1,6,38,20
0,0,0,1,2,0,1,0,1,6,50,68
0,0,1,0,0,0,0,0,0,9,250,54
0,0,0,1,3,0,0,1,0,2,75,56
0,0,0,1,3,0,0,1,1,5,50,63
0,0,0,1,3,0,0,1,0,22,75,57
0,0,0,1,2,0,1,0,0,33,110,17
0,0,1,0,0,0,0,0,0,8,50,12
0,0,0,1,2,0,1,0,0,35,25,92
0,0,0,1,2,0,1,0,0,5,55,23
0,0,0,1,2,0,1,0,0,2,100,12
0,0,1,0,0,0,0,0,0,18,25,16
0,0,0,1,3,0,0,1,0,6,50,18
0,0,0,1,2,0,1,0,0,31,45,7
0,0,0,1,2,0,1,0,0,25,50,46
0,0,0,1,2,0,1,0,0,35,200,23
0,0,1,0,0,0,0,0,0,6,65,30
0,0,0,1,2,0,1,0,0,0,40,172
0,0,1,0,0,0,0,0,0,6,100,21
0,0,1,0,0,0,0,0,0,6,50,42
0,0,0,1,1,1,0,0,0,6,120,35
0,0,0,1,1,1,0,0,1,2,35,55
0,0,0,1,3,0,0,1,0,6,250,19
0,0,0,1,3,0,0,1,0,43,35,75
0,0,0,1,2,0,1,0,0,3,18,19
0,0,0,1,2,0,1,0,0,6,100,35
0,0,0,1,1,1,0,0,0,6,225,20
0,0,1,0,0,0,0,0,0,18,150,17
0,0,0,1,3,0,0,1,1,5,20,3
0,0,0,1,2,0,1,0,0,24,85,61
0,0,0,1,2,0,1,0,0,3,300,50
0,0,0,1,3,0,0,1,0,31,200,21
0,0,0,1,1,1,0,0,0,7,100,18
0,0,0,1,1,1,0,0,0,3,50,26
0,0,1,0,0,0,0,0,0,24,50,36
0,0,0,1,1,1,0,0,0,3,20,35
0,0,1,0,0,0,0,0,0,4,35,39
